Country,Indicator,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,"Gross domestic product, constant prices",National currency,,,453.484,492.903,496.209,554.91,584.658,662.65,688.247,829.924,899.956,958.266,1092.12,1154.18,1185.31,1197.01,1222.92,1255.29,1270.22,1319.9,1288.87,1021.6,,
Afghanistan,"Gross domestic product, constant prices",Percent change,,,,8.692,0.671,11.83,5.361,13.34,3.863,20.585,8.438,6.479,13.968,5.683,2.697,0.988,2.164,2.647,1.189,3.912,-2.351,-20.737,,
Afghanistan,"Gross domestic product, current prices",National currency,,,178.756,220.013,246.21,304.926,345.817,427.495,517.509,607.227,711.759,836.222,1033.59,1116.83,1183.04,1226.57,1222.92,1285.46,1327.69,1469.6,1547.29,1232.86,,
Afghanistan,"Gross domestic product, current prices",U.S. dollars,,,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.616,20.057,18.02,18.883,18.401,18.876,20.136,14.941,,
Afghanistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,,,19.661,21.792,22.527,25.982,28.22,32.848,34.772,42.198,46.309,50.334,59.945,63.784,69.444,72.056,70.098,74.712,77.418,81.889,81.007,67.093,,
Afghanistan,"Gross domestic product, deflator",Index,,,39.418,44.636,49.618,54.951,59.149,64.513,75.192,73.167,79.088,87.264,94.641,96.764,99.809,102.469,100.0,102.404,104.525,111.341,120.05,120.68,,
Afghanistan,"Gross domestic product per capita, constant prices",National currency,,,24240.97,25307.04,24519.48,26491.22,27072.43,29547.74,29927.65,35172.94,37083.17,38282.44,42225.02,43169.34,42944.6,42110.88,41880.72,42265.57,40196.7,40990.73,39127.08,30315.97,,
Afghanistan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,,,1442.77,1506.22,1459.35,1576.7,1611.29,1758.62,1781.23,2093.42,2207.11,2278.49,2513.14,2569.34,2555.97,2506.35,2492.65,2515.55,2392.42,2439.68,2328.76,1804.34,,
Afghanistan,"Gross domestic product per capita, current prices",National currency,,,9555.4,11296.1,12166.14,14557.09,16012.96,19062.11,22503.29,25734.84,29328.41,33406.83,39962.17,41772.32,42862.46,43150.71,41880.72,43281.49,42015.52,45639.64,46972.1,36585.25,,
Afghanistan,"Gross domestic product per capita, current prices",U.S. dollars,,,233.433,233.755,254.259,294.396,320.674,381.502,447.746,511.374,631.49,714.7,784.611,754.402,746.922,705.597,617.126,635.789,582.323,586.204,611.268,443.385,,
